
> frontend@0.1.0 dev:frontend
> node scripts/run-frontend-when-ready.js

[frontend] All backend services are ready. Starting Next.js.
▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.32.1:3000
- Environments: .env.local, .env
✓ Ready in 989ms

○ Compiling / ...
 GET /category/6?subcategory=99 200 in 83ms (next.js: 16ms, application-code: 67ms)
 GET /category/6?subcategory=99 200 in 397ms (next.js: 9ms, application-code: 388ms)
 GET /category/6?subcategory=99 200 in 239ms (next.js: 7ms, application-code: 232ms)
 GET /category/6?subcategory=99 200 in 73ms (next.js: 13ms, application-code: 60ms)
 GET /category/6?subcategory=99 200 in 371ms (next.js: 8ms, application-code: 363ms)
 GET /category/6?subcategory=99 200 in 283ms (next.js: 5ms, application-code: 277ms)
 GET /category/6?subcategory=99 200 in 248ms (next.js: 14ms, application-code: 234ms)
 GET /category/6?subcategory=99 200 in 323ms (next.js: 8ms, application-code: 315ms)
 GET /category/6?subcategory=99 200 in 76ms (next.js: 6ms, application-code: 70ms)
 GET /category/6?subcategory=99 200 in 70ms (next.js: 13ms, application-code: 58ms)
 GET /category/6?subcategory=99 200 in 268ms (next.js: 7ms, application-code: 261ms)
 GET /category/6?subcategory=99 200 in 76ms (next.js: 7ms, application-code: 69ms)
 GET /category/6?subcategory=99 200 in 90ms (next.js: 17ms, application-code: 73ms)
 GET /category/6?subcategory=99 200 in 115ms (next.js: 11ms, application-code: 104ms)
 GET /category/6?subcategory=99 200 in 94ms (next.js: 9ms, application-code: 85ms)
 GET /category/6?subcategory=99 200 in 86ms (next.js: 9ms, application-code: 76ms)
 GET /category/6?subcategory=99 200 in 79ms (next.js: 15ms, application-code: 64ms)
 GET /category/6?subcategory=99 200 in 59ms (next.js: 8ms, application-code: 51ms)
 GET /category/6?subcategory=99 200 in 292ms (next.js: 7ms, application-code: 285ms)
 GET /category/6?subcategory=99 200 in 85ms (next.js: 15ms, application-code: 69ms)
 GET /category/6?subcategory=99 200 in 305ms (next.js: 7ms, application-code: 298ms)
 GET /category/6?subcategory=99 200 in 91ms (next.js: 9ms, application-code: 82ms)
 GET /category/6?subcategory=99 200 in 105ms (next.js: 16ms, application-code: 88ms)
 GET /category/6?subcategory=99 200 in 87ms (next.js: 8ms, application-code: 80ms)
 GET /category/6?subcategory=99 200 in 292ms (next.js: 8ms, application-code: 284ms)
 GET /category/6?subcategory=99 200 in 288ms (next.js: 18ms, application-code: 270ms)
 GET /category/6?subcategory=99 200 in 277ms (next.js: 7ms, application-code: 270ms)
 GET /category/6?subcategory=99 200 in 305ms (next.js: 6ms, application-code: 299ms)
 GET /category/6?subcategory=99 200 in 281ms (next.js: 16ms, application-code: 266ms)
 GET /category/6?subcategory=99 200 in 82ms (next.js: 7ms, application-code: 75ms)
 GET /category/6?subcategory=99 200 in 109ms (next.js: 9ms, application-code: 101ms)
 GET /category/6?subcategory=99 200 in 96ms (next.js: 16ms, application-code: 81ms)
 GET /category/6?subcategory=99 200 in 85ms (next.js: 9ms, application-code: 76ms)
 GET /category/6?subcategory=99 200 in 425ms (next.js: 9ms, application-code: 416ms)
 GET /category/6?subcategory=99 200 in 78ms (next.js: 16ms, application-code: 62ms)
 GET /category/6?subcategory=99 200 in 275ms (next.js: 7ms, application-code: 268ms)
 GET /category/6?subcategory=99 200 in 84ms (next.js: 6ms, application-code: 78ms)
 GET /category/6?subcategory=99 200 in 89ms (next.js: 16ms, application-code: 74ms)
 GET /category/6?subcategory=99 200 in 258ms (next.js: 6ms, application-code: 252ms)
 GET /category/6?subcategory=99 200 in 79ms (next.js: 7ms, application-code: 72ms)
 GET /category/6?subcategory=99 200 in 123ms (next.js: 17ms, application-code: 106ms)
 GET /category/6?subcategory=99 200 in 280ms (next.js: 6ms, application-code: 274ms)
 GET /category/6?subcategory=99 200 in 72ms (next.js: 7ms, application-code: 66ms)
 GET /category/6?subcategory=99 200 in 82ms (next.js: 15ms, application-code: 67ms)
 GET /category/6?subcategory=99 200 in 302ms (next.js: 23ms, application-code: 279ms)
 GET /category/6?subcategory=99 200 in 291ms (next.js: 8ms, application-code: 284ms)
 GET /category/6?subcategory=99 200 in 87ms (next.js: 17ms, application-code: 69ms)
 GET /category/6?subcategory=99 200 in 381ms (next.js: 7ms, application-code: 374ms)
 GET /category/6?subcategory=99 200 in 440ms (next.js: 13ms, application-code: 426ms)
 GET /category/6?subcategory=99 200 in 422ms (next.js: 23ms, application-code: 399ms)
 GET /category/6?subcategory=99 200 in 93ms (next.js: 10ms, application-code: 83ms)
 GET /category/6?subcategory=99 200 in 72ms (next.js: 8ms, application-code: 64ms)
 GET /category/6?subcategory=99 200 in 111ms (next.js: 19ms, application-code: 93ms)
 GET /category/6?subcategory=99 200 in 82ms (next.js: 8ms, application-code: 74ms)
 GET /category/6?subcategory=99 200 in 271ms (next.js: 7ms, application-code: 263ms)
 GET /category/6?subcategory=99 200 in 272ms (next.js: 20ms, application-code: 252ms)
 GET /category/6?subcategory=99 200 in 285ms (next.js: 6ms, application-code: 279ms)
 GET /category/6?subcategory=99 200 in 75ms (next.js: 7ms, application-code: 67ms)
 GET /category/6?subcategory=99 200 in 324ms (next.js: 19ms, application-code: 305ms)
 GET /category/6?subcategory=99 200 in 115ms (next.js: 9ms, application-code: 106ms)
 GET /category/6?subcategory=99 200 in 119ms (next.js: 12ms, application-code: 106ms)
 GET /category/6?subcategory=99 200 in 113ms (next.js: 10ms, application-code: 103ms)
 GET /category/6?subcategory=99 200 in 170ms (next.js: 29ms, application-code: 141ms)
 GET /category/6?subcategory=99 200 in 816ms (next.js: 12ms, application-code: 804ms)
 GET /category/6?subcategory=99 200 in 634ms (next.js: 17ms, application-code: 617ms)
 GET / 200 in 226ms (next.js: 52ms, application-code: 175ms)
 GET / 200 in 338ms (next.js: 12ms, application-code: 326ms)
 GET / 200 in 118ms (next.js: 10ms, application-code: 107ms)
 GET / 200 in 231ms (next.js: 14ms, application-code: 217ms)
 GET / 200 in 115ms (next.js: 10ms, application-code: 105ms)
 GET / 200 in 80ms (next.js: 9ms, application-code: 72ms)
 GET / 200 in 85ms (next.js: 8ms, application-code: 77ms)
 GET / 200 in 216ms (next.js: 8ms, application-code: 208ms)
 GET / 200 in 81ms (next.js: 13ms, application-code: 68ms)
 GET / 200 in 253ms (next.js: 5ms, application-code: 248ms)
 GET / 200 in 146ms (next.js: 11ms, application-code: 134ms)
 GET /login 200 in 2.7s (next.js: 2.3s, proxy.ts: 220ms, application-code: 153ms)
 GET /login 200 in 252ms (next.js: 9ms, proxy.ts: 21ms, application-code: 222ms)
 GET / 200 in 434ms (next.js: 32ms, application-code: 403ms)
 GET / 200 in 334ms (next.js: 5ms, application-code: 329ms)
 GET / 200 in 65ms (next.js: 8ms, application-code: 58ms)
 GET /login 200 in 358ms (next.js: 13ms, proxy.ts: 17ms, application-code: 327ms)
 GET /login 200 in 69ms (next.js: 10ms, proxy.ts: 13ms, application-code: 46ms)
 GET /register 200 in 1991ms (next.js: 1921ms, proxy.ts: 7ms, application-code: 63ms)
 GET /register 200 in 57ms (next.js: 8ms, proxy.ts: 17ms, application-code: 32ms)
 GET /register 200 in 140ms (next.js: 7ms, proxy.ts: 10ms, application-code: 123ms)
 GET /register 200 in 115ms (next.js: 7ms, proxy.ts: 11ms, application-code: 97ms)
